Cliente;Nombre ;Poblacion;CP;Rg;Calle;NIF;TipoNIF
4000000005;IPS MEVISALUD S A S;BOGOTA;11001;11;CL 13 28 61;9006314882;NI
4000000430;ANGEL DIAGNOSTICA S.A;CALI;76001;76;AV 2 NORTE 22 19 CALI;8050135918;NI
4000000432;CLINICA UNIVERSIDAD DE LA SABANA;BOGOTA;11001;11;AUT RTE KM 21 VIA LA CARO CHIA;8320031673;NI
4000000433;HOSPITAL UNIVER CLINICA SAN RAFAEL;BOGOTA;11001;11;CR 8 17 45;8600158889;NI
4000000435;CLINICA MAGDALENA;BOGOTA;11001;11;CL 39 14 34;8605020922;NI
4000000436;IPS SOCIEDAD MEDICA INTEGRAL;BOGOTA;11001;11;CL 39 SUR 52C 05;9003993629;NI
4000000437;FUNDACION SALUD BOSQUE;BOGOTA;11001;11;CL 134 7 B 41;8301388025;NI
4000000438;EUSALUD LTDA;BOGOTA;11001;11;CR 9 66 10;8002270728;NI
4000000439;UNIPSALUD 2000 GUADUAS IPS LTDA;BOGOTA;11001;11;CL 1 422 29 MUNICIPIO GUADUAS;9002637405;NI
4000000442;CLINICA LOS NOGALES S.A.S;BOGOTA;11001;11;TV 23 94A 39;9002910184;NI
4000000443;IPS ESPECIALIZADA SA;BOGOTA;11001;11;CL 12 C 79 A 25 BG 25;9002939234;NI
4000000445;GINESALUD;BOGOTA;11001;11;CR 32 1004 LC 104;9003801541;NI
4000000446;JAVESALUD-FUND-JAVERIANA CARLOS MAR;BOGOTA;11001;11;CL 102 A 47 A 42;8300183051;NI
4000000450;FUNDACION ABOOD SHAIO .;BOGOTA;11001;11;DG 115 A 70 C 75;8600066569;NI
4000000451;FUNDACION CARDIO INFANTIL .;BOGOTA;11001;11;CL 163 A 13 B 60;8600359922;NI
4000000452;REHAB-INTEG-INFANTIL ESPECIALIZADA;BOGOTA;11001;11;CL 119 11 B 67;9002478223;NI
4000000453;VITAL HEALTH;BOGOTA;11001;11;CL 30 1770;9002820390;NI
4000000454;LIGA NORTE SANT-LUCHA CONTRA CANCER;BOGOTA;11001;11;CL 12 238 BARRIO LA PLAYA;8905008935;NI
4000000456;SERV-AEREO MEDICALIZADO-FUNDAMENTAL;BOGOTA;11001;11;AC 26 103 10 IN 27 1 EN 1;9004583124;NI
4000000457;FAMICARE CLINICA DIA LTDA;BOGOTA;11001;11;CR 16 80 25;8301226082;NI
4000000461;INSTITUTO CALDENSE DE PATOLOGIA;MANIZALES;17001;17;CL 55 2467;8001768683;NI
4000000462;CORPORACION SALUD UNIVERSIDAD NACIO;BOGOTA;11001;11;CLL 44 59 75;9005781050;NI
4000000499;AXA COLPATRIA SEGUROS DE VIDA SA AR;BOGOTA;11001;11;AK 104 33 P6;8600021839;NI
4000000502;SEGUROS COLPATRIA SA;BOGOTA;11001;11;CR 7 24 89 P 7;8600021846;NI
4000000509;CARDIF COLOMBIA SEGUROS GENERALES S;BOGOTA;11001;11;CL 113 7 80 P 11;9002004353;NI
4000000523;COLMENA RIESGOS PROFESIONALES;BOGOTA;11001;11;AV EL DORADO 69C 03 TO A P 4;8002261753;NI
4000000529;CONSORCIO SAYP SOAT;BOGOTA;11001;11;CR 13 32 76 P 7;9004624475;NI
4000000549;LA EQUIDAD SEGUROS;BOGOTA;11001;11;CR 9A 72 46 P 12;8300086861;NI
4000000553;LA PREVISORA SA CIA DE SEGUROS;BOGOTA;11001;11;CL 22 CR 91;8600024002;NI
4000000555;LA PREVISORA SA CIA DE SEGUROS;BOGOTA;11001;11;CL 22 CR 91;8600024002;NI
4000000556;LIBERTY SEGUROS DE VIDA SA;BOGOTA;11001;11;SIN INFORMACION;8600086457;NI
4000000559;LIBERTY SEGUROS SA;BOGOTA;11001;11;CR 23 166 36;8600399880;NI
4000000562;MAPRE COLOMBIA VIDA SEGURIDAD SA AR;BOGOTA;11001;11;CR 70 99 72;8300549046;NI
4000000564;MAPRE SEGUROS GENERALES DE COLOMBIA;BOGOTA;11001;11;CR 14N 96 34;8917000379;NI
4000000592;POSITIVA COMPAÑIA DE SEGUROS SA ARL;BOGOTA;11001;11;CR 6 33;8600111536;NI
4000000594;QBE SEGUROS SA;BOGOTA;11001;11;CL 94 A 13 42;8600025340;NI
4000000601;SEGUROS BOLIVAR SA ARL;BOGOTA;11001;11;CR 10 16 39;8600025032;NI
4000000604;SEGUROS DE VIDA ALFA SA;BOGOTA;11001;11;CL 50 CR 26;8605036173;NI
4000000607;SEGUROS DEL ESTADO SA;BOGOTA;11001;11;CL 166 CR 36;8600095786;NI
4000000611;ASEGURADORA SOLIDARIA DE COLOMBIA;BOGOTA;11001;11;CR 15 CON 106;8605246546;NI
4000000619;SEGUROS DE RIESGOS PROFESIONALES;BOGOTA;11001;11;AV EL DORADO 68B 85;8002561619;NI
4000000628;SEGUROS GENERALES SURAMERICANA SA;BOGOTA;11001;11;CL 73 7 31 P5;8909034079;NI
4000000638;FISALUD CONSORCIO SOAT;BOGOTA;11001;11;CR 7 32 33 OF 1604;8300796720;NI
4000000657;ASISTIR SALUD SAS;BOGOTA;11001;11;CL 64 G 90 A 40;8002169580;NI
4000000658;ASISTIR SALUD SAS;BOGOTA;11001;11;CL 64 G 90 A 40;8002169580;NI
4000000659;ASISTIR SALUD SAS;BOGOTA;11001;11;CL 64 G 90 A 40;8002169580;NI
4000000667;A Y P ANDAR S A KENNEDY;BOGOTA;11001;11;CR 78D 40 25 S;9001231628;NI
4000000724;COMPENSAR COMFENALCO VALLE-CV;BOGOTA;11001;11;SIN INFORMACION;8600669427;NI
4000001317;DIALY SER SAS;BOGOTA;11001;11;KR 7 113 43 OF 905;9002317938;NI
4000001383;AXA ASISTENCIA IPS SAS;BOGOTA;11001;11;CR 65 81 28 P1 PAR EMPRESARIAL ENTR;8300815016;NI
4000001508;ASMEDAN LTDA ASOCIACION DE MEDICOS;BOGOTA;11001;11;CL 98 9 A 46 OFC 302;8300987751;NI
4000001528;CONGREGACION DE LAS HERMANAS DE LA;BOGOTA;11001;11;CL 45 C 22 02;8600067456;NI
4000001530;FORJA EMPRESAS SAS;BOGOTA;11001;11;CR 12 71 32 OF 302;9001626886;NI
4000001531;NATIONAL CLINICS CENTENARIO SAS;BOGOTA;11001;11;CL 13 17 21;9007029818;NI
